Node_ID,Social_Pressure_D,System_Friction_L,Entropy_Factor_SS,Buffer_Capacity_C,Required_Coordination_Tokens,Current_Active_Tokens,State_Status
NODE-1000,179,6,0.18,52,25,6,STABLE FLOW
NODE-1001,85,5,0.26,37,15,7,STABLE FLOW
NODE-1002,235,2,0.21,33,18,20,OVER-COORDINATED (Halt)
NODE-1003,218,1,0.16,75,4,4,STABLE FLOW
NODE-1004,251,6,0.37,45,46,41,STABLE FLOW
NODE-1005,282,4,0.38,30,52,25,STABLE FLOW
NODE-1006,260,4,0.35,51,28,7,STABLE FLOW
NODE-1007,118,7,0.23,46,23,27,OVER-COORDINATED (Halt)
NODE-1008,247,3,0.31,42,24,25,OVER-COORDINATED (Halt)
NODE-1009,486,6,0.36,30,133,5,COLLAPSE RISK (Expedite)
NODE-1010,435,1,0.12,58,9,1,COLLAPSE RISK (Expedite)
NODE-1011,457,6,0.22,38,89,21,STABLE FLOW
NODE-1012,304,2,0.29,97,9,0,COLLAPSE RISK (Expedite)
NODE-1013,341,3,0.39,81,18,2,COLLAPSE RISK (Expedite)
NODE-1014,105,2,0.31,22,13,7,STABLE FLOW
NODE-1015,499,2,0.29,59,22,0,COLLAPSE RISK (Expedite)
NODE-1016,226,4,0.16,23,46,6,COLLAPSE RISK (Expedite)
NODE-1017,271,9,0.19,99,30,23,STABLE FLOW
NODE-1018,109,9,0.15,49,24,18,STABLE FLOW
NODE-1019,413,3,0.19,94,16,8,STABLE FLOW
NODE-1020,294,9,0.32,54,65,22,STABLE FLOW
NODE-1021,265,1,0.39,90,5,4,STABLE FLOW
NODE-1022,180,8,0.1,53,30,15,STABLE FLOW
NODE-1023,242,4,0.19,31,38,32,STABLE FLOW
NODE-1024,190,3,0.11,82,8,1,COLLAPSE RISK (Expedite)
NODE-1025,474,1,0.36,90,8,7,STABLE FLOW
NODE-1026,70,7,0.31,35,19,16,STABLE FLOW
NODE-1027,109,1,0.35,87,2,5,OVER-COORDINATED (Halt)
NODE-1028,345,3,0.38,95,16,11,STABLE FLOW
NODE-1029,129,4,0.15,48,13,3,STABLE FLOW
